icao,reg,country,owners,type,notes
7BC006,B-2479,CN,Air China,Boeing 747-89L,"https://en.wikipedia.org/wiki/Air_transports_of_heads_of_state_and_government#China,_People's_Republic_of"
896436,A6SHJ,AE,Sharjah Rulers Flight,Airbus ACJ320 232XSL,
7101E3,HZMF2,SA,Saudi Ministry of Finance,Boeing 737NG 7AJ W BBJ,
0900B5,D2EEB,AO,Government of Angola,Bombardier DHC-8 402,
51002B,EW001PA,BY,Government of Belarus,Boeing 737NG 8EV W BBJ2,
062F2E,5UGRN,NE,Government of Niger,Boeing 737NG 75U W BBJ,
896264,A6ALN,AE,Abu Dhabi Amiri Flight,Boeing 777 2ANER,
6830A5,UPA2001,KZ,Government of Kazakhstan,Airbus ACJ320 214X,
0D8373,YV2984,VE,Conviasa / Venezuelan Government,Airbus A319-133X,Source: https://www.planespotters.net/airframe/airbus-a319-100-yv2984-venezuelan-government/rqvp2e
0A4009,7TVPC,DZ,Government of Algeria,Gulfstream Aerospace GIV SP,
8960AE,A6MMM,AE,Dubai Air Wing,Boeing 747 422,
89636E,A6PFC,AE,Abu Dhabi Amiri Flight,Boeing 787-8,
06A001,A7HHK,QA,Qatar Amiri Flight,Airbus A340 211,
70C0BA,A4OAJ,OM,Oman Royal Flight,Airbus ACJ319 133X,
894011,A9CBDF,BH,Bahrain Defence Force,Avro 146 RJ85,
896430,A6FZZ,AE,Dubai Air Wing,Boeing 737NG 8KN W BBJ2,
89629F,A6SIL,AE,Abu Dhabi Amiri Flight,Boeing 777 35RER,
71022B,HZMF6,SA,Saudi Ministry of Finance,Boeing 737NG 9FG W,
14FC0B,RA64523,RU,Russian FSB,Tupolev Tu-214 VPU,
06A0A3,A7MED,QA,Qatar Amiri Flight,Airbus ACJ319 133LR,
0A402D,7TVPP,DZ,Government of Algeria,Airbus A340 541,
70604C,9KGCC,KW,Government of Kuwait,Boeing 737NG 9BQ BBJ3,
894016,A9CHWR,BH,Bahrain Defence Force,Avro 146 RJ85,
894014,A9CHMK,BH,Bahrain Amiri Flight,Boeing 747 4P8,
06A0D6,A7MHH,QA,Qatar Amiri Flight,Airbus ACJ319 115X,
06A0A4,A7MBK,QA,Qatar Amiri Flight,Airbus ACJ320 232X,
894042,A9CAWL,BH,Bahrain Defence Force,Avro 146 RJ100,
89615A,A6MRS,AE,Dubai Air Wing,Boeing 737NG 8E0 BBJ2,
600BC0,4KAI08,AZ,Government of Azerbaijan,Airbus A340ACJ 642X,
7101E9,HZMF4,SA,Saudi Ministry of Finance,Gulfstream Aerospace G300,
706048,9KGFA,KW,Government of Kuwait,Gulfstream Aerospace G550,
60183E,EZB024,TM,Government of Turkmenistan,Bombardier Challenger 870,
7101F1,HZWBT7,SA,Kingdom Holding (King Abdullah),Boeing 747 4J6,
683037,UPB5701,KZ,Government of Kazakhstan,Boeing 757 2M6,
0A4006,7TVPS,DZ,Government of Algeria,Gulfstream Aerospace GIV SP,
600B78,4KAZ888,AZ,SW Business Aviation,Gulfstream Aerospace G450,
