icao,iata,country,name,airport_type,alt,lon,lat
GB0065,,GB,Audley End Airfield,small_airport,283,0.224275588989,52.0091365357
GB0071,,GB,High Easter Airfield,small_airport,,0.34083366394,51.8062266163
KW32,,US,Washington Executive Hyde Field,small_airport,249,-76.9328002929688,38.7482986450195
LGSM,SMI,GR,Samos Airport,medium_airport,19,26.9116992950439,37.689998626709
LEMU,,ES,Muchamiel Airport,small_airport,427,-0.4752779901028,38.44060134887
LFGB,,FR,Mulhouse-Habsheim Airport,small_airport,788,7.43220996856689,47.7412986755371
NY09,,US,Middle Hope Airport,small_airport,450,-74.0162963867188,41.5611991882324
RU0845,,RU,Gorelovo Aerodrome,small_airport,190,30.071722,59.765518
UA0019,,UA,Bagerovo Air Base,closed,,36.2449989318848,45.4070014953613
CN17,,US,Childrens Hospital and Health Center Heliport,heliport,445,-117.152000427246,32.7991981506348
CN35,,US,Hughes/Space & Comm. Heliport,closed,183,-118.398003,33.930302
FL94,,US,Florida Power & Light County Heliport,heliport,107,-80.3449923545,25.7682331637
FR0001,,FR,Centre Hospitalier De Moenchsberg Heliport,heliport,1081,7.34499979019165,47.7252769470215
FR0085,,FR,Centre Hospitalier Lariboisière Heliport,heliport,262,2.35444402694702,48.8827781677246
FR0230,,FR,Hôtel Du Château Heliport,heliport,1678,6.13250017166138,46.3580551147461
FR0317,,FR,Centre Hospitalier Sud Francilien Heliport,heliport,256,2.457238,48.620279
FR0318,,FR,Centre Hospitalier Bicêtre Heliport,heliport,269,2.35622,48.809506
K4G8,,US,Columbia Airport,small_airport,813,-81.9601974487305,41.3188018798828
LFPA,,FR,Persan Beaumont Airport,small_airport,148,2.31306004524231,49.1657981872559
LFPC,CSF,FR,Creil Air Base,medium_airport,291,2.51914000511169,49.2535018920898
LFPH,,FR,Chelles le Pin Airport,small_airport,207,2.60750007629395,48.8978004455566
LFPP,,FR,Le Plessis Belleville Airport,small_airport,387,2.73805999755859,49.1100006103516
LHSS,,HU,Szolnok-Szandaszőlős Sport Airport,small_airport,266,20.1977996826172,47.144401550293
LILO,,IT,Sondrio Caiolo Airport,small_airport,899,9.79806,46.154202
LIRC,,IT,Centocelle Heliport,heliport,158,12.5637,41.8729
LOKG,,AT,Glainach Airport,small_airport,1498,14.330833,46.532778
OBBS,,BH,Sheik Isa Air Base,medium_airport,136,50.5905990600586,25.918399810791
OBKH,,BH,Sakhir Air Base,small_airport,49,50.524544,26.034533
OE53,,SA,King Abdul Aziz Military Academy Airport,small_airport,2420,46.3912010192871,24.9421005249023
OERY,XXN,SA,Riyadh Air Base,medium_airport,2082,46.7252006530762,24.7098007202148
OI50,,US,1st District Police Station Heliport,heliport,783,-81.7789993286133,41.4481010437012
OM11,,AE,Abu Dhabi Northeast Airport,small_airport,88,54.9800987243652,24.5188999176025
OOLK,LKW,OM,Lekhwair Airport,small_airport,354,55.3733682632,22.8049846844
OPKC,KHI,PK,Jinnah International Airport,medium_airport,100,67.160797,24.9065
OTBK,,QA,Al Khawr Airport,small_airport,10,51.5066986083984,25.6296005249023
SIJR,,BR,Ely Rego Airport,small_airport,2592,-49.5999984741211,-25.5394439697266
UA6118,,UA,Vasylkiv Air Base,small_airport,673,30.2999992370605,50.2332992553711
UKKM,GML,UA,Gostomel Airport,medium_airport,517,30.1919002532959,50.6035003662109
ULLP,,RU,Pushkin Airport,medium_airport,230,30.338301,59.685001
ULLS,,RU,Siversky Air Base,medium_airport,341,30.0366992950439,59.3567008972168
US0004,,US,Rockaway Airport,closed,,-73.7819976806641,40.6016006469727
US0024,,US,Hess Airport,small_airport,540,-97.1399993896,31.6779003143
US0263,,US,Ravenswood Airport,closed,656,-87.93,42.01
68TA,,US,Avsi-Sugar Land Heliport,heliport,85,-95.6072006225586,29.6429996490479
37OH,,US,Southwest General Hospital Heliport,heliport,792,-81.7948989868164,41.3708992004395
ENKR,KKN,NO,Kirkenes Airport (Høybuktmoen),medium_airport,283,29.891300201416,69.725799560547
US0673,,US,Novant Health UVA Haymarket Medical Center Heliport,heliport,364,-77.641252,38.819955
YMEN,MEB,AU,Melbourne Essendon Airport,medium_airport,282,144.901993,-37.7281
